k0_upper_1,1.496e3
k0_upper_2,2.964e3
k0_mid_1,1.733e3
k0_mid_2,2.717e3
k0_low_1,1.723e3
k0_low_2,2.32e3
k0_mantle_sp,2.271e3
k0_mantle_gt,2.371e3
k1_upper_1,398.84e3
k1_upper_2,-495.29e3
k1_mid_1,194.59e3
k1_mid_2,-398.93e3
k1_low_1,219.88e3
k1_low_2,-96.88e3
k1_mantle_sp,681.12e3
k1_mantle_gt,669.4e3
k2_upper_1,4.573e-4
k2_upper_2,0.866e-4
k2_mid_1,2.906e-4
k2_mid_2,0.032e-4
k2_low_1,1.705e-4
k2_low_2,-0.981e-4
k2_mantle_sp,-1.259e-4
k2_mantle_gt,-1.288e-4
k3_upper_1,0.0950
k3_upper_2,0.0692
k3_mid_1,0.0788
k3_mid_2,0.0652
k3_low_1,0.0520
k3_low_2,0.0384
k3_mantle_sp,0.0399
k3_mantle_gt,0.0384
t_criterion,844.0
